headline,publisher,date,stock,headline_length,keywords,hour
NVIDIA Corporation Reports Q2 EPS of $0.29 vs $0.20 Est; Revenue of $1.10B vs $1.08B Est,Paul Quintaro,,NVDA,88,"['nvidia', 'corporation reports', 'q2 eps', 'vs $', 'est', '$ 1.10b vs $ 1.08b', 'est']",
"Golar LNG Partners LP Reports Q2 Net Income $53.8M, Operating Income $87.4M, Distributable Cash Flow $72.1M",Paul Quintaro,,GMLP,107,"['golar lng partners lp', 'q2', 'income', '$ 53.8m', 'income', '$ 87.4m', 'cash flow', '$ 72.1m']",
"Fallout From New U.S. Cybersecurity Agency Includes Multiple Hacks, Profits For 'Cyber Bulls'",Jayson Derrick,,CYBR,93,"['fallout', 'u.s. cybersecurity', 'includes multiple hacks', 'profits', 'bulls']",
How Groupon and other factors tripped up our model,Covestor,,PCLN,50,['groupon'],
These ETFs House The Next Biotech Takeover Targets,ETF Professor,,ARRY,50,"['etfs', 'biotech takeover targets']",
"Jefferies Upgrades MDC Partners Inc. To Buy, Raises Price Target To $12",Paul Quintaro,,MDCA,71,"['jefferies upgrades mdc partners', 'buy', 'raises price target']",
A Peek Into The Market Before The Trading Starts,Lisa Levin,,LFUS,48,"['peek', 'market']",
"IBM On Conf. Call, Expects Q1 Adj. EPS $2.35-$2.48 vs $2.28 Est.",Hal Lindon,,IBM,64,"['ibm', 'conf', 'call', 'expects q1 adj', 'eps', '$ 2.35- $', 'vs $', 'est']",
LMI Aerospace Drops 11.7% On Earnings And Revenue Miss (LMIA),Daniel Hayden IV,,LMIA,61,"['lmi aerospace drops', 'earnings', 'miss', 'lmia']",
30 Stocks Moving In Monday's Pre-Market Session,Lisa Levin,,EGLE,47,"['stocks', 'pre-market session']",
"JP Morgan Downgrades AGCO to Neutral, Announces $82 Price Target",Vick Meyer,,AGCO,64,"['jp morgan downgrades agco', 'neutral', 'announces', 'price target']",
Najarian Brothers See Unusual Options Activity In Analog Devices And Procter & Gamble,Craig Jones,,ADI,85,"['najarian', 'unusual options activity', 'analog devices', 'procter', 'gamble']",
How Close Are Biotechs To Bringing A COVID-19 Treatment To Market?,Shanthi Rexaline,,NNVC,66,"['close', 'biotechs', 'bringing', 'covid-19', 'market']",
ConocoPhillips CEO Says Sees Current Weak Global LNG Prices as Short-term Phenomenon,Charles Gross,,COP,84,"['conocophillips ceo says', 'current weak global lng prices', 'short-term phenomenon']",
"Walter Investment Management Q3 EPS $(0.17) vs $(0.01) Est, Revenue $297.3 vs $325.4M Est",Paul Quintaro,,WAC,89,"['walter', 'management q3 eps', 'vs $', 'est', 'revenue $', 'vs $ 325.4m', 'est']",
"4 Stocks To Watch For December 30, 2019",Lisa Levin,,NIO,39,"['stocks', 'watch', 'december']",
HCI Group Announces Was Not Able to Reach Agreement to Acquire Prepared Insurance Company,Hal Lindon,,HCI,89,"['hci', 'announces was', 'able', 'reach agreement', 'acquire prepared', 'insurance company']",
ENGlobal Finalizes Credit Facility with PNC,Allie Wickman,,ENG,43,"['englobal finalizes credit facility', 'pnc']",
"Top 4 Mid-Cap Stocks In The Communication Equipment Industry With The Highest Cash (SATS, HRS, CIEN, JDSU)",Monica Gerson,,HRS,106,"['top', 'mid-cap stocks', 'communication', 'equipment industry', 'highest cash', 'sats', 'hrs', 'cien', 'jdsu']",
Kellogg Reaffirms FY17 Outlook,Paul Quintaro,,K,30,['kellogg reaffirms fy17 outlook'],
Duncan-Williams Reiterates Strong Buy on Ensco,BenzingaStaffJ,,ESV,46,"['duncan-williams reiterates strong buy', 'ensco']",
Deutsche Bank CFO Says We Aim From Year 2022 To Be Able To Pay A Dividend,Benzinga Newsdesk,,DB,73,"['deutsche', 'cfo says', 'aim', 'be able', 'pay', 'dividend']",
UPDATE: Cantor Fitzgerald Initiates Acadia Healthcare at Buy on Favorable Industry Trends,Frank Sylvester,,ACHC,89,"['update', 'cantor fitzgerald initiates acadia healthcare', 'buy', 'favorable industry', 'trends']",
"The Big Picture for the Week of March 13, 2011",Roger Nusbaum,,EZA,46,"['picture', 'march']",
10 Stocks Moving In Monday's Pre-Market Session,Monica Gerson,,KEYW,47,"['stocks', 'pre-market session']",
Tarena Increases Buyback From $30M To $70M,Benzinga Newsdesk,,TEDU,42,"['tarena increases buyback', '$ 30m', '$ 70m']",
"Credit Suisse Upgrades Esterline Technologies from Neutral to Outperform, Raises PT from $69 to $81",webmaster,,ESL,99,"['credit suisse upgrades esterline technologies', 'neutral', 'outperform', 'raises pt']",
WPCS Issues Release Urging Holders to Vote for Sale of Seattle Operations,Hal Lindon,,WPCS,73,"['wpcs issues release urging', 'vote', 'sale', 'seattle operations']",
"Photoshop Finish: Adobe Reports Q1 Earnings, Revenue Beat",Dave Royse,,ADBE,57,"['photoshop finish', 'adobe', 'q1 earnings']",
"Penn National Gaming Reports Q4 EPS $0.05 vs. Est. $(0.14), Rev. $742.9M vs. Est. $744M",Paul Quintaro,,PENN,87,"['penn', 'gaming', 'q4 eps', 'est', 'rev', '$ 742.9m', 'est', '$ 744m']",
5 Potential iPad Killers,Benzinga Staff,,NOK,24,"['potential', 'killers']",
Earnings Roundup,Lisa Levin,,FAST,16,['earnings roundup'],
Skyline Reports Q1 EPS $(0.82) vs $(0.45) Prior Year; Revenue $50.3M vs $54.64M Prior Year,Matthew Kennedy,,SKY,90,"['skyline reports', 'q1 eps', 'vs $', 'revenue $ 50.3m vs $ 54.64m']",
"TTM Tech Sees Q3 Adj. EPS $0.29-$0.35 vs $0.26 Est., Sales $620M-$660M vs $652.9M Est.",Paul Quintaro,,TTMI,86,"['ttm tech', 'q3 adj', 'eps', '$ 0.29- $', 'vs $', 'est.', '$ 620m- $ 660m vs $ 652.9m', 'est']",
"Ultratech Reports Received Multiple System, Follow-On Order for Fan-Out Wafer-Level Packaging Apps, No Terms Disclosed",Paul Quintaro,,UTEK,118,"['ultratech', 'received multiple', 'follow-on', 'fan-out wafer-level packaging apps', 'terms disclosed']",
Pioneer Energy Sees $53M In Early Termination Rev. Through FY15 And Q1 2016,Paul Quintaro,,PES,75,"['pioneer energy', '$ 53m', 'early termination rev', 'fy15', 'q1']",
"Stocks Which Set New 52-Week Low Yesterday, October 22nd",Benzinga Newsdesk,,BXS,56,"['stocks', 'set', 'new 52-week', 'low yesterday', 'october']",
Stocks That Hit 52-Week Lows On Thursday,Lisa Levin,,MYL,40,"['stocks', 'lows']",
"10 Notable Stocks Trading Ex-Dividend Wednesday, September 21",Lisa Levin,,NJR,61,"['stocks', 'ex-dividend', 'september']",
Stocks Hitting 52-Week Lows,Lisa Levin,,ERIC,27,"['stocks', 'lows']",
MGIC Investment Reports Q2 EPS $-0.75 vs $-0.54 Est; Revenues $321.1M vs $298.61M Est,Allie Wickman,,MTG,85,"['mgic', 'investment reports', 'q2 eps', 'vs $', 'est', 'revenues', '$ 321.1m vs $ 298.61m', 'est']",
Stocks That Hit 52-Week Lows On Tuesday,Lisa Levin,,GALT,39,"['stocks', 'lows']",
"#PreMarket Primer: Thursday, February 20: Facebook Makes Big Purchase With WhatsApp",Tim Parker,,DTV,83,"['premarket primer', 'february', 'facebook makes', 'purchase', 'whatsapp']",
"JP Morgan Maintains Neutral on Lexington Realty, Raises Price Target to $11",Vick Meyer,,LXP,75,"['jp morgan maintains neutral', 'lexington realty', 'raises price target']",
68 Biggest Movers From Yesterday,Lisa Levin,,SNCR,32,"['biggest movers', 'yesterday']",
Auxillium Spikes Lower,Charles Gross,,AUXL,22,['auxillium spikes lower'],
"Options Brief: MetLife, Inc. (MET)",Michael J. Zerinskas,,MET,34,"['options brief', 'metlife', 'met']",
CPI Aerostructures Announces Purchase Order from Goodrich for Aerospace Structural Assemblies,Eddie Staley,,CVU,93,"['cpi aerostructures announces purchase', 'goodrich', 'aerospace structural']",
"Hedge Fund 13-F Updates: Berkshire, Greenlight, Paulson & Co., Appaloosa and More!",Scott Rubin,,STI,82,"['hedge', 'fund 13-f', 'updates', 'berkshire', 'greenlight', 'paulson', 'appaloosa']",
Stocks to Watch for Tuesday 8/02/2011: Fresh 52-Week Highs and Lows,Benjamin Lee,,RDN,67,"['stocks', 'watch', 'fresh 52-week', 'highs', 'lows']",
DNB Downgrades Transocean Inc. to Hold,Paul Quintaro,,RIG,38,"['dnb downgrades transocean', 'hold']",
"Morgan Stanley: As Generic Competitors Falter, Mylan Is Worth A Shot",Elizabeth Balboa,,MYL,68,"['morgan stanley', 'generic competitors falter', 'mylan', 'worth', 'shot']",
BOJ's Kuroda: No gap in views between the government and the central bank that a weak yen was positive for Japan via ForexLive,Forex Live,,EWJ,126,"['boj', 'kuroda', 'central bank', 'weak yen', 'japan', 'forexlive']",
"Notable Option Activity For January 27: AMCC, CLF, AMD, TRIP, GRPN, VALE",Hal Lindon,,GRPN,72,"['option activity', 'january', 'amcc', 'clf', 'amd', 'trip', 'grpn', 'vale']",
UPDATE: J.P. Morgan Upgrades Commercial Vehicle Group as Management Changes Bring a Fresh View to Strategy,Dwight Einhorn,,CVGI,106,"['update', 'j.p. morgan upgrades commercial vehicle', 'management', 'bring', 'fresh view', 'strategy']",
"UPDATE: Credit Suisse Reiterates Outperform Rating, Raises PT on Precision Castparts",Dwight Einhorn,,PCP,84,"['update', 'credit suisse reiterates outperform rating', 'raises pt', 'precision castparts']",
Starbucks CFO Says Shipping 50M K-Cups in November,Matthew Kennedy,,GMCR,50,"['starbucks cfo says shipping', 'k-cups', 'november']",
"The Market In 5 Minutes: Industry-Changing M&A In Media, Aerospace, And Financial Services",Benzinga News Desk,,TWX,90,"['market', 'minutes', 'industry-changing', 'media', 'aerospace', 'financial']",
Benzinga's Top Downgrades,Lisa Levin,,USB,25,"['benzinga', 'top downgrades']",
Morning Market Movers,Monica Gerson,,SINA,21,['morning market movers'],
"Hawaiian Air Reports Oct. RPMs 7.8%, ASMs 3.9%, Load Factor Up 3.2 Points",Paul Quintaro,,HA,73,"['hawaiian air reports', 'oct. rpms', 'asms', 'load factor up', 'points']",
Moody's Cuts Ratings of 10 Banks - Analyst Blog,Zacks,,STI,47,"['moody', 'cuts ratings', 'analyst blog']",
Stocks That Hit 52-Week Highs On Friday,Lisa Levin,2020-01-31 15:23:36+00:00,NYMX,39,"['stocks', 'highs']",15.0
You Don't Have To Be Einstein To Like EMC .....(EMC)...(NTAP),Roger Vertes,,STX,61,"['have', 'be einstein', 'emc', 'emc', 'ntap']",
"Alternative Ideas For Intel's Quarter (INTC, AMD, ARMH, MIPS, CEVA)",Jonathan Chen,,ARMH,67,"['alternative ideas', 'intel', 'quarter', 'intc', 'amd', 'armh', 'mips', 'ceva']",
Benzinga's Top Downgrades,Lisa Levin,,SPWR,25,"['benzinga', 'top downgrades']",
"Benzinga Pro Mid-Day Price Check For Regional ETFs: Europe (VGK) Up 0.8%, Japan (EWJ) Up 0.5%, Australia (EWA) Up 0.5%, US (SPY) Up 0.2%, Canada (EWC) Flat, Russia (RSX) Down 0.1%, Mexico (EWW) Down 0.4%, China ETF (FXI) Down 0.8%",Benzinga Newsdesk,,EWC,230,"['benzinga pro mid-day price', 'etfs', 'europe', 'vgk', 'up', 'japan', 'ewj', 'up', 'australia', 'ewa', 'up', 'spy', 'up', 'canada', 'ewc', 'flat', 'russia', 'rsx', 'down', 'mexico', 'eww', 'down', 'china etf', 'fxi', 'down']",
Base Metals Fall; Copper Slumps 1.1%,webmaster,,KALU,36,"['base metals', 'slumps']",
China Recycling Energy Shares Up 18% For Session,Paul Quintaro,,CREG,48,"['china recycling energy shares up', 'session']",
"Stocks To Watch For May 14 (JCP, BBI, CA, NVDA, JWN)",Monica Gerson,,CA,52,"['stocks', 'watch', 'may', 'jcp', 'bbi', 'ca', 'nvda', 'jwn']",
"CIBC Downgrades Cott Corporation to Sector Perform, Lowers PT to $9.00",Hal Lindon,,COT,70,"['cibc downgrades cott', 'sector perform', 'lowers pt']",
Luxfer Names Heather Harding CFO,Paul Quintaro,,LXFR,32,['luxfer names heather harding cfo'],
International Game Technology shares are trading lower. Not seeing any news to justify the price action.,Benzinga Newsdesk,,IGT,104,"['game', 'technology shares', 'price action']",
22 Stocks Moving In Tuesday's Pre-Market Session,Lisa Levin,,DRWI,48,"['stocks', 'pre-market session']",
"Benzinga's Biggest Movers For The Week Of May 14, 2018",Bill Haddad,,EGY,54,"['benzinga', 'biggest movers', 'may']",
"Two Boring ETFs for All Investors (XLB, XLI)",Matthew McCall,,MON,44,"['boring etfs', 'xlb', 'xli']",
Stifel Nicolaus Maintains Invesco Mortgage Capital (IVR) Hold Rating,Daniel Hayden IV,,IVR,68,"['stifel nicolaus maintains invesco', 'capital', 'ivr', 'hold rating']",
"Thursday's Put/Call Ratio Leaders (FHN, FLIR, INFN, WLL, STI)",Michael J. Zerinskas,,INFN,61,"['put/call ratio', 'fhn', 'flir', 'infn', 'wll', 'sti']",
Chinese Internet Stocks Move Following Alibaba Group Holding Ltd Open,Alex Furno,,JD,69,"['internet stocks move following alibaba', 'holding ltd']",
A Peek Into The Markets: U.S. Stock Futures Edge Lower On Election Day,Lisa Levin,,CVS,70,"['peek', 'markets', 'u.s.', 'futures edge lower', 'election day']",
"UBS Downgrades Caterpillar to Sell, Lowers Price Target to $125",Vick Meyer,,CAT,63,"['ubs downgrades caterpillar', 'sell', 'lowers price target']",
Diplomat Pharmacy Spikes Higher Following Walgreens/Rite-Aid Halt,Paul Quintaro,,DPLO,65,"['diplomat pharmacy spikes', 'following walgreens/rite-aid halt']",
Mid-Morning Market Update: Markets Open Higher; Clorox Earnings Top Street View,Garrett Cook,,WGL,79,"['mid-morning market update', 'markets', 'clorox earnings top', 'street view']",
10 Stocks That Rallied Three Days On No News,Lisa Levin,,TSCO,44,"['stocks', 'rallied']",
"Shell Boosted by Volumes, Cost Cuts - Analyst Blog",Zacks,,CCS,50,"['shell boosted', 'volumes', 'cuts', 'analyst blog']",
Adaptive Biotechnologies Files For 8M Share Common Stock Offering By Selling Shareholders,Benzinga Newsdesk,,ADPT,89,"['adaptive biotechnologies files', 'share', 'common stock', 'offering', 'selling shareholders']",
Wunderlich Securities Initiates Coverage On EOG Resources With A Buy,Benzinga Staff,,EOG,68,"['wunderlich securities initiates coverage', 'eog resources', 'buy']",
25 Stocks Moving In Wednesday's Pre-Market Session,Lisa Levin,,ARDX,50,"['stocks', 'pre-market session']",
UPDATE: Stifel Nicolaus Downgrades Wells Fargo & Company to Hold on Net Interest Margin Compression,David Johnson,,WFC,99,"['update', 'stifel nicolaus downgrades', 'fargo', 'hold', 'interest margin compression']",
A Peek Into The Market Before The Trading Starts,Lisa Levin,,CNW,48,"['peek', 'market']",
November Comps for Specialty Retail and Department Stores to Decline by 4.5%,Monica Gerson,,ARO,76,"['november comps', 'specialty', 'stores', 'decline']",
"Kingold Jewelry Q2 EPS $0.20 Up From $0.12 YoY, Sales $678.8M Up From $475.891M YoY",Benzinga Newsdesk,,KGJI,83,"['kingold jewelry q2 eps', 'up', 'yoy', '$ 678.8m', 'up', '$ 475.891m', 'yoy']",
UPDATE: Globus Medical Sees Q4 Sales ~$142.6M vs $139M Est.,Paul Quintaro,,GMED,59,"['update', 'globus', 'q4', '~ $ 142.6m vs $ 139m', 'est']",
UPDATE: Credit Suisse Upgrades China Telecom to Outperform,Juan Lopez,,CHA,58,"['update', 'credit suisse upgrades china telecom', 'outperform']",
30 Stocks Moving in Friday's Pre-Market Session,Lisa Levin,,NVEE,47,"['stocks', 'pre-market session']",
Alibaba's Looking For Black Swan Opportunities,IAM Newswire,,BABA,46,"['alibaba', 'looking', 'black swan opportunities']",
Navios Maritime Acquisition Corporation Announces Acquisition and Delivery of a VLCC,James Hunt,,NNA,84,"['navios maritime acquisition', 'announces acquisition', 'delivery', 'vlcc']",
NASDAQ Slides 1.2%; Manitowoc Shares Dip Following Cautious Outlook,Garrett Cook,,MTW,67,"['nasdaq slides', 'manitowoc shares', 'following cautious outlook']",
"The CSX-Hunter Harrison Story, Pondering The Upside Potential",Brett Hershman,,CP,61,"['csx-hunter harrison', 'pondering', 'upside potential']",
Calls Purchased on Northern Dynasty Minerals (NAK),Michael J. Zerinskas,,NAK,50,"['purchased', 'dynasty minerals', 'nak']",
Affymetrix Acquires Assets of Eureka Genomics Corporation for $15M in Cash,Charles Gross,,ZTS,74,"['affymetrix acquires assets', 'eureka genomics', '$ 15m', 'cash']",
The Market In 5 Minutes: Netflix And IBM Get Big Tech Earnings Off On A Rough Start,Benzinga News Desk,,DVN,83,"['market', 'minutes', 'netflix', 'ibm', 'tech earnings off', 'rough start']",
Dover Corporation Sees FY2013 EPS $5.56-5.71 vs $5.22 Est,Paul Quintaro,,DOV,57,"['dover', 'fy2013 eps', '$ 5.56-5.71 vs $', 'est']",
33 Healthcare Stocks Moving In Today's Pre-Market Session,Lisa Levin,,FOMX,57,"['healthcare stocks', 'pre-market session']",
Luxfer Raises Quarterly Dividend From $0.10 To $0.125,Eddie Staley,,LXFR,53,['luxfer raises quarterly dividend'],
13-F Alert: Baupost Group Adds AIG Shares and Microsoft Call Options,Scott Rubin,,NG,68,"['alert', 'baupost', 'adds aig shares', 'microsoft call options']",
13G Filing from Federated Investors on Textura Shows Very Slightly Increased Stake from 9.29% as of Dec. 31st to 9.39%,Paul Quintaro,,TXTR,118,"['filing', 'federated', 'textura shows', 'slightly increased stake', 'dec.']",
J.P. Morgan Slashes Price Target for RPM International Inc. (RPM),Bud Fox,,RPM,65,"['j.p. morgan slashes price target', 'rpm', 'rpm']",
Yandex Spiking Higher on Heavy Volume; Currently at $23.29,webmaster,,YNDX,58,"['yandex spiking', 'currently']",
Option Alert: SWEEP (BUY) - BABA Sept $82.5 Call - 501 @ 3.7 in 82 orders. 632 traded. OI: 112,Charles Gross,,BABA,94,"['option alert', 'sweep', 'buy', 'baba sept', 'call', 'oi']",
Citi: Key Takeaways from Family Dollar Management Meeting,Delores Land,,FDO,57,"['citi', 'key takeaways', 'family dollar', 'management meeting']",
"Goldman Sachs Maintains Buy, $135 Target on AvalonBay",David Johnson,,AVB,53,"['goldman sachs maintains buy', 'target', 'avalonbay']",
"UPDATE: SunTrust's Peck Highlights Five Key Attributes Shaping Yahoo's CEO Candidates: Public CEO Experience, Familiarity with Yahoo, Media Background, Technology Experience, Turnaround Executions",Paul Quintaro,,YHOO,196,"['update', 'suntrust', 'peck highlights', 'key attributes shaping yahoo', 'ceo candidates', 'ceo experience', 'familiarity', 'yahoo', 'media background', 'experience', 'turnaround executions']",
"Benzinga's Top Upgrades, Downgrades For December 13, 2018",Lisa Levin,,ADC,57,"['benzinga', 'top upgrades', 'downgrades', 'december']",
"Perrigo Announces Patent Litigation Settlement For The Generic Version Of Sernivo Spray, 0.05%; Terms Not Disclosed",Benzinga Newsdesk,,PRGO,115,"['perrigo announces patent litigation settlement', 'generic version', 'sernivo spray', 'terms', 'disclosed']",
"Egalet Reports Q4 EPS $(0.87) vs $(0.92) Est., Sales $6.1M vs $5.1M Est.",Paul Quintaro,,EGLT,72,"['egalet', 'q4 eps', 'vs $', 'est.', '$ 6.1m vs $ 5.1m', 'est']",
XL GroUp plc Reports Q2 EPS of $1.02 Which May Not Compare $0.83 Est; Revenue of $1.83B Which May Not Compare $1.46B Est,Eddie Staley,,XL,120,"['xl group', 'plc reports', 'q2 eps', 'may', 'est', '$ 1.83b', 'may', '$ 1.46b', 'est']",
Inogen Reports FDA Clearance of Home Oxygen Concentrator,Paul Quintaro,,INGN,56,"['inogen', 'fda clearance', 'oxygen concentrator']",
Macquarie Initiates Coverage On Oil/Gas Industry,Eric Niederer,,PKD,48,"['macquarie initiates coverage', 'oil/gas']",
"Infinera Reports Q2 Adj. EPS $(0.15) vs $(0.16) Est., Sales $176.8M vs $181M Est.",Paul Quintaro,,INFN,81,"['infinera', 'q2 adj', 'eps', 'vs $', 'est.', '$ 176.8m vs $ 181m', 'est']",
Antitrust Regulator Set to Approve Abbott's Purchase of St. Jude,Paul Quintaro,,STJ,64,"['antitrust regulator set', 'approve abbott', 'purchase', 'jude']",
From Earlier: Kona Grill Announces Stock Repurchase Plan,Eddie Staley,,KONA,56,"['kona grill announces', 'repurchase']",
"Sanctions, Stimuli And COVID-19: Today's Oil News",Elizabeth Balboa,,XOM,49,"['sanctions', 'stimuli', 'covid-19', ""'s oil news""]",
Hooker Furniture Corporation Reports Q3 EPS of $0.30 vs $0.28 Est; Revenue of $63.20M vs $62.20M Est,Paul Quintaro,,HOFT,100,"['hooker furniture', 'corporation reports', 'q3 eps', 'vs $', 'est', '$ 63.20m vs $ 62.20m', 'est']",
Grainger To Report Q4 Earnings: What's In Store?,Zacks,,GWW,48,"['grainger', 'q4 earnings', 'store']",
5 Top Picks For January,Jim Swanson,,JBLU,23,"['top picks', 'january']",
What To Make Of Longtime Kroger CFO's Retirement,Jayson Derrick,,KR,48,"['longtime kroger cfo', 'retirement']",
"PFSweb Q1 EPS $(0.04), Inline, Sales $78.421M Beat $75.23M Estimate",Benzinga Newsdesk,,PFSW,67,"['pfsweb q1 eps', 'inline', '$ 78.421m', '$ 75.23m', 'estimate']",
Deutsche Bank Says Expects To Issue Up to 687.5M New Shares as Part of Capital Increase,Charles Gross,,DB,87,"['deutsche', 'says expects', 'up', 'shares', 'part', 'capital']",
UPDATE: D.A. Davidson Reiterates On Hanesbrands Following Encouraging Beat And Raise,Dwight Einhorn,,HBI,84,"['update', 'd.a', 'davidson reiterates', 'hanesbrands following', 'raise']",
Infographic: Fitbit's Path To IPO,Atish Davda,,GPRO,33,"['infographic', 'fitbit', 'path', 'ipo']",
Autodesk Signs Agreement to Acquire Structural Fabrication and Detailing Technology from Graitec; Terms Undisclosed,Eddie Staley,,ADSK,115,"['autodesk signs agreement', 'acquire structural fabrication', 'detailing', 'graitec', 'terms undisclosed']",
The RBA made its case for a lower Australian dollar more forcefully today via ForexLive,Forex Live,,EWA,87,"['rba', 'australian', 'forexlive']",
10 Stocks You Should Be Watching Today,Lisa Levin,,DKS,38,"['stocks', 'be watching']",
E-Commerce Dangdang Up 2% (DANG),Roger Nachman,,DANG,32,"['e-commerce dangdang up', 'dang']",
ReWalk Robotics Reports Received First Tranche Of $5M As Part Of $20M Strategic Investment From Timwell,Benzinga Newsdesk,,RWLK,103,"['rewalk robotics', 'received', 'tranche', '$ 5m', 'part', '$ 20m', 'strategic investment', 'timwell']",
Detroit Edison Going Green - Analyst Blog,Zacks,,MW,41,"['detroit edison going', 'analyst blog']",
Amerinet Signs New Agreement with Teleflex Incorporated for Arrow Peripherally Inserted Central Catheters (TFX),Benzinga Staff,,TFX,111,"['amerinet signs', 'agreement', 'teleflex incorporated', 'peripherally inserted', 'catheters', 'tfx']",
"Universal Truckload Services, Inc. Commences Self Tender Offer To Purchase Up To 1M shares, Range Of Price $21.50-$23.50",Eddie Staley,,UACL,120,"['universal truckload', 'commences self tender offer', 'purchase up', '1m shares', 'price', '$ 21.50- $']",
Standpoint Research Downgrades DIRECTV to Hold,Paul Quintaro,,DTV,46,"['standpoint', 'downgrades directv', 'hold']",
"HC Wainwright & Co. Maintains Buy on Seattle Genetics, Raises Price Target to $175",vishwanath@benzinga.com,,SGEN,82,"['hc wainwright', 'maintains buy', 'seattle genetics', 'raises price target']",
"Top 4 Stocks In The Specialty Retail, Other Industry With The Highest Revenue",Monica Gerson,,SPLS,77,"['top', 'stocks', 'specialty', 'highest']",
Mid-Afternoon Market Update: Crude Oil Drops 5%; Alpha and Omega Semi Shares Gain On Earnings Beat,Lisa Levin,,TUES,98,"['mid-afternoon market update', 'crude', 'drops', 'alpha', 'omega semi shares gain', 'earnings']",
Mid-Day Market Update: Restoration Hardware Surges On Earnings; Endocyte Shares Drop,Jason Shubnell,,ECYT,84,"['mid-day market update', 'restoration hardware surges', 'earnings', 'endocyte shares drop']",
TransCanada Issues Comment on Market Activity: 'Firmly Believes in Current Corporate Form...',Paul Quintaro,,TRP,93,"['transcanada issues comment', 'market activity', 'believes', 'current', 'form']",
Mid-Afternoon Market Update: The Dow Turns Green; Chipotle Continues to Rise,Jake L'Ecuyer,,ACTG,76,"['mid-afternoon market update', 'dow turns', 'chipotle continues', 'rise']",
"Rio Tinto Signs A Pact With Chinalco (RTP, ACH, BHP)",Bud Fox,,ACH,52,"['rio tinto signs', 'chinalco', 'rtp', 'ach', 'bhp']",
25 Stocks Moving In Friday's Mid-Day Session,Lisa Levin,,DCIX,44,"['stocks', 'mid-day session']",
Bank Of England To British Banks: Prepare For The Worst,Jayson Derrick,2017-04-07 15:54:41+00:00,FXB,55,"['england', 'prepare', 'worst']",15.0
Mid-Afternoon Market Update: GameStop Drops After Mixed Q2 Report; Pure Storage Shares Surge,Lisa Levin,,ADMS,92,"['mid-afternoon market update', 'gamestop drops', 'mixed q2', 'pure storage shares surge']",
Wesco International Reports Q4 EPS $1.12 vs $0.98 Est; Revenues 1.59B vs $1.53B Est,Matthew Kennedy,,WCC,83,"['wesco', 'international reports', 'q4 eps', 'vs $', 'est', 'revenues', '1.59b vs $ 1.53b', 'est']",
The Right International Dividend ETF Right Now,ETF Professor,2015-10-07 18:37:25+00:00,IHDG,46,"['right', 'dividend etf right']",18.0
Stocks That Hit 52-Week Highs On Monday,Lisa Levin,,MWA,39,"['stocks', 'highs']",
"Alibaba, Wendy's And More 'Fast Money Halftime Report' Picks From Dec. 2",Craig Jones,,BABA,72,"['alibaba', 'wendy', ""'fast money"", 'halftime', 'picks', 'dec.']",
80 Biggest Movers From Yesterday,Lisa Levin,,WLL,32,"['biggest movers', 'yesterday']",
Splunk Inc. Reports Q3 EPS of $(0.01) vs $(0.02) Est; Revenue of $52.0M vs $46.77M Est,Paul Quintaro,,SPLK,86,"['splunk', 'q3 eps', 'vs $', 'est', '$ 52.0m vs $ 46.77m', 'est']",
"Southwest Bancorp, Inc. Reports Q4 EPS of $0.34",Paul Quintaro,,OKSB,47,"['bancorp', 'q4 eps']",
Fast Money Traders Weigh In On Caterpillar And United Rentals,Craig Jones,,CAT,61,"['fast', 'traders weigh', 'caterpillar', 'rentals']",
"Stocks Which Set New 52-Week High Yesterday, July 24th:",Benzinga Newsdesk,2018-07-25 16:14:17+00:00,GNBC,55,"['stocks', 'set', 'new 52-week', 'yesterday', 'july']",16.0
Benzinga's Volume Movers,Lisa Levin,,VMW,24,"['benzinga', ""'s volume"", 'movers']",
UPDATE: Plug Power Posts Q1 Loss,Monica Gerson,,PLUG,32,"['update', 'plug power posts q1 loss']",
Alcoa: It's All About the Aluminum Outlook,Benzinga Staff,,AA,42,"['alcoa', 'aluminum outlook']",
UPDATE: Square Says Card Reader Available in More Than 1000 AT&T Stores -Retuers,Eddie Staley,,PAY,80,"['update', 'says card reader', 'than', 'at', 't stores']",
Why Bill Ackman is Going To Be a Train Conductor For Halloween,Jonathan Chen,,CP,62,"['bill ackman', 'going', 'be', 'train', 'halloween']",
Top 4 NASDAQ Stocks In The Catalog & Mail Order Houses Industry With The Highest Revenue Estimates,Monica Gerson,,EBAY,98,"['top', 'nasdaq stocks', 'catalog', 'mail order', 'houses', 'highest', 'revenue estimates']",
Will Cyber Monday Turn the Economy Around?,Abe Raymond,,RSH,42,"['will cyber', 'turn', 'economy around']",
Gap Trading Down 2.18% After Hours To $29.56/Share After Old Navy President Stefan Larsson Leaves Company To Become Ralph Lauren CEO,Hal Lindon,,GPS,132,"['gap', 'down', '$ 29.56/share', 'old navy president', 'stefan larsson leaves', 'become ralph lauren ceo']",
Nasdaq Collaborates With Microsoft To Expand Use Of Equity Market Data,Benzinga Newsdesk,,NDAQ,70,"['nasdaq collaborates', 'microsoft', 'expand', 'equity market data']",
Shares of several Brazilian stocks are trading higher after China said it is willing to seek trade and investment deals with the country.,Benzinga Newsdesk,,SID,137,"['shares', 'brazilian', 'china', 'investment deals']",
